Thread ID: 268020
Total: 42.315561

 %self     total     self     wait    child    calls  name
  0.17      0.07     0.07     0.00     0.00    10387  ActiveRecord::Associations::AssociationProxy#reset
  0.17      0.28     0.07     0.00     0.21    10397  ActiveSupport::CoreExtensions::Time::Calculations::ClassMethods#time_with_datetime_fallback
  0.17      0.27     0.07     0.00     0.20    10687  ActiveRecord::AttributeMethods#unserializable_attribute?
  0.16      0.09     0.07     0.00     0.02    10002  ActiveSupport::TimeWithZone#utc?
  0.16      0.07     0.07     0.00     0.00    31210  Array#empty?
  0.16      1.23     0.07     0.00     1.16    10002  TZInfo::TimezoneOffsetInfo#to_local
  0.16      1.30     0.07     0.00     1.23    10002  TZInfo::TimezonePeriod#to_local
  0.15      0.07     0.07     0.00     0.00    10389  String#=~
  0.15      0.06     0.06     0.00     0.00    10482  SQLite3::Statement#must_be_open!
  0.15      0.68     0.06     0.00     0.62      104  Array#uniq
  0.15      0.06     0.06     0.00     0.00    27639  String#to_s
  0.15      0.06     0.06     0.00     0.00    10035  String#%
  0.14      0.06     0.06     0.00     0.00    21278  <Class::Hash>#allocate
  0.14      0.37     0.06     0.00     0.31      100  Array#collect
  0.13      0.08     0.06     0.00     0.03    10404  Kernel#Array
  0.13      0.06     0.06     0.00     0.00    21085  Hash#has_key?
  0.13      0.06     0.06     0.00     0.00    20784  Kernel#instance_variable_defined?
  0.13      0.06     0.06     0.00     0.00    20823  Fixnum#to_s
  0.13      0.93     0.05     0.00     0.88       21  Array#collect!
  0.13      0.59     0.05     0.00     0.54    10439  Enumerable#each_with_index
  0.13      0.05     0.05     0.00     0.00    20778  Kernel#instance_variable_get
  0.13      0.05     0.05     0.00     0.00    10422  <Class::Hash>#[]
  0.13      0.05     0.05     0.00     0.00    20787  Hash#[]-1
  0.12      0.05     0.05     0.00     0.00    21029  Hash#include?
  0.12      0.05     0.05     0.00     0.00    10023  Time#strftime
  0.12      0.05     0.05     0.00     0.00    10758  Hash#initialize_copy
